id,titulo,corpo,corpo_titulo,url
0, que Suzane von Richthofen foi recebida por ativistas dos direitos humanos ao sair da prisão,  Um post que tem sido bastante compartilhado no Facebook afirma que Suzane von Richthofen foi recepcionada por ativistas dos direitos humanos ao sair da prisão. A foto anexa à publicação mostra Suzane ao lado da deputada federal Maria do Rosário (PT-RS). O texto e a imagem são .  , que Suzane von Richthofen foi recebida por ativistas dos direitos humanos ao sair da prisão   Um post que tem sido bastante compartilhado no Facebook afirma que Suzane von Richthofen foi recepcionada por ativistas dos direitos humanos ao sair da prisão. A foto anexa à publicação mostra Suzane ao lado da deputada federal Maria do Rosário (PT-RS). O texto e a imagem são .  ,https://g1.globo.com/fato-ou-fake/noticia/2019/05/10/e-fake-que-suzane-von-richtofen-foi-recebida-por-ativistas-dos-direitos-humanos-ao-sair-da-prisao.ghtml
1, que corte em universidades ocorreu porque instituições não comprovaram destino de 30% dos recursos,"  Um artigo publicado pelo ""Jornal da Cidade Online"", que tem sido bastante compartilhado no Facebook e também circula no WhatsApp, afirma que o corte de verbas para as universidades públicas ocorreu porque ""as universidades não conseguiram comprovar de que forma foram usados 30% dos recursos recebidos nos últimos anos"". Por este motivo, segundo o texto, o governo está apenas ""barrando o valor desviado"". A alegação, porém, .  "," que corte em universidades ocorreu porque instituições não comprovaram destino de 30% dos recursos   Um artigo publicado pelo ""Jornal da Cidade Online"", que tem sido bastante compartilhado no Facebook e também circula no WhatsApp, afirma que o corte de verbas para as universidades públicas ocorreu porque ""as universidades não conseguiram comprovar de que forma foram usados 30% dos recursos recebidos nos últimos anos"". Por este motivo, segundo o texto, o governo está apenas ""barrando o valor desviado"". A alegação, porém, .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/09/e-fake-que-corte-em-universidades-ocorreu-porque-instituicoes-nao-comprovaram-destino-de-30percent-dos-recursos.ghtml
2, que Moro mandou sancionar lei que aumenta rigor sobre motorista bêbado que causa acidente,"  Circula pelas redes sociais uma mensagem que diz que o ministro da Justiça, Sérgio Moro, mandou sancionar uma lei que aumenta o rigor da pena para o motorista que causar acidente com vítima dirigindo embriagado. A mensagem .  "," que Moro mandou sancionar lei que aumenta rigor sobre motorista bêbado que causa acidente   Circula pelas redes sociais uma mensagem que diz que o ministro da Justiça, Sérgio Moro, mandou sancionar uma lei que aumenta o rigor da pena para o motorista que causar acidente com vítima dirigindo embriagado. A mensagem .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/09/e-fake-que-moro-mandou-sancionar-lei-que-aumenta-rigor-sobre-motorista-bebado-que-causa-acidente.ghtml
3, que universidade federal liberou computadores de ponta para alunos jogarem LOL,"  Um texto publicado pelo portal ""Jornal da Cidade Online"", com mais de mil compartilhamentos nas redes, acusa a Universidade Federal do Mato Grosso do Sul (UFMS) de ""gastar para alunos jogarem League of Legends (LoL) enquanto chora o corte de verbas indispensáveis"". A publicação, porém, .  "," que universidade federal liberou computadores de ponta para alunos jogarem LOL   Um texto publicado pelo portal ""Jornal da Cidade Online"", com mais de mil compartilhamentos nas redes, acusa a Universidade Federal do Mato Grosso do Sul (UFMS) de ""gastar para alunos jogarem League of Legends (LoL) enquanto chora o corte de verbas indispensáveis"". A publicação, porém, .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/08/e-fake-que-universidade-federal-liberou-computadores-de-ponta-para-alunos-jogarem-lol.ghtml
4, que obra em trecho da BR-163 mostrada em vídeo foi iniciada no governo Bolsonaro,"  Circula pelas redes sociais um vídeo em que um homem apresenta obras na rodovia BR-163 acompanhado da seguinte legenda: ""Maravilha!!! BR 163 sem asfalto há 30 anos, agora Bolsonaro está fazendo com cimento de primeira qualidade"". O vídeo foi feito em 2016 e a obra, iniciada em 2014, já teve a duplicação da via finalizada. Ou seja, a mensagem .  "," que obra em trecho da BR-163 mostrada em vídeo foi iniciada no governo Bolsonaro   Circula pelas redes sociais um vídeo em que um homem apresenta obras na rodovia BR-163 acompanhado da seguinte legenda: ""Maravilha!!! BR 163 sem asfalto há 30 anos, agora Bolsonaro está fazendo com cimento de primeira qualidade"". O vídeo foi feito em 2016 e a obra, iniciada em 2014, já teve a duplicação da via finalizada. Ou seja, a mensagem .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/08/e-fake-que-obra-em-trecho-da-br-163-mostrada-em-video-foi-iniciada-no-governo-bolsonaro.ghtml
5, que vídeo de militares que termina em disparo foi gravado na Venezuela e mostra reação de soldado ao governo Maduro,"  Circula pelas redes sociais um vídeo em que militares discutem e, durante a briga, um homem dispara contra o outro. A mensagem compartilhada junto com o vídeo diz que o registro foi feito na Venezuela e que ""os militares estão se recusando a maltratar o povo morto de fome"". O tiro não é real e a mensagem .  "," que vídeo de militares que termina em disparo foi gravado na Venezuela e mostra reação de soldado ao governo Maduro   Circula pelas redes sociais um vídeo em que militares discutem e, durante a briga, um homem dispara contra o outro. A mensagem compartilhada junto com o vídeo diz que o registro foi feito na Venezuela e que ""os militares estão se recusando a maltratar o povo morto de fome"". O tiro não é real e a mensagem .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/08/e-fake-que-video-de-militares-que-termina-em-disparo-foi-gravado-na-venezuela-e-mostra-reacao-de-soldado-ao-governo-maduro.ghtml
6," que Eduardo Cunha tenha proposto delação que inclui 150 deputados, 16 juízes e 4 bancos","  Circula pelas redes sociais uma mensagem que diz que o ex-deputado Eduardo Cunha propôs uma delação premiada que ""inclui 150 deputados, 14 togados do STJ e 2 togados do STF, um grupo de frigoríficos, 4 grandes bancos, 2 advogados e caciques do PSDB e do PT"". A mensagem .  "," que Eduardo Cunha tenha proposto delação que inclui 150 deputados, 16 juízes e 4 bancos   Circula pelas redes sociais uma mensagem que diz que o ex-deputado Eduardo Cunha propôs uma delação premiada que ""inclui 150 deputados, 14 togados do STJ e 2 togados do STF, um grupo de frigoríficos, 4 grandes bancos, 2 advogados e caciques do PSDB e do PT"". A mensagem .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/07/e-fake-que-eduardo-cunha-tenha-proposto-delacao-que-inclui-150-deputados-16-juizes-e-4-bancos.ghtml
7," texto que anuncia 15,3 mil demissões e fechamento de 1.513 agências dos Correios","  Duas publicações no Facebook afirmam que os Correios aprovaram, em março deste ano, uma proposta de privatização da empresa que demitirá 15,3 mil trabalhadores e fechará 1.513 agências. O plano, segundo as postagens, foi concebido após um acordo entre o ministro da Economia, Paulo Guedes, e empresas americanas interessadas em atuar no país. As informações são .  "," texto que anuncia 15,3 mil demissões e fechamento de 1.513 agências dos Correios   Duas publicações no Facebook afirmam que os Correios aprovaram, em março deste ano, uma proposta de privatização da empresa que demitirá 15,3 mil trabalhadores e fechará 1.513 agências. O plano, segundo as postagens, foi concebido após um acordo entre o ministro da Economia, Paulo Guedes, e empresas americanas interessadas em atuar no país. As informações são .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/07/e-fake-texto-que-anuncia-153-mil-demissoes-e-fechamento-de-1513-agencias-dos-correios.ghtml
8, que Gleisi Hoffmann disse que não vê motivos para homenagens a Senna,"  Circulam pelas redes sociais mensagens que atribuem à presidente do PT, Gleisi Hoffmann, a seguinte declaração: ""Não vejo motivo algum para abajularem Airton Senna. Ele era apenas um corredor de carro e nada mais. Lula sim é a verdadeira história do Brasil"". .  "," que Gleisi Hoffmann disse que não vê motivos para homenagens a Senna   Circulam pelas redes sociais mensagens que atribuem à presidente do PT, Gleisi Hoffmann, a seguinte declaração: ""Não vejo motivo algum para abajularem Airton Senna. Ele era apenas um corredor de carro e nada mais. Lula sim é a verdadeira história do Brasil"". .  ",https://g1.globo.com/fato-ou-fake/noticia/2019/05/03/e-fake-que-gleisi-hoffmann-disse-que-nao-ve-motivos-para-homenagens-a-senna.ghtml
9,Veja o que é  sobre o conflito na Venezuela,  Os conflitos entre tropas do governo e opositores ao regime de Nicolas Maduro na Venezuela nesta terça-feira (30) têm sido marcados por mensagens com conteúdo duvidoso divulgadas nas redes sociais.  ,Veja o que é  sobre o conflito na Venezuela   Os conflitos entre tropas do governo e opositores ao regime de Nicolas Maduro na Venezuela nesta terça-feira (30) têm sido marcados por mensagens com conteúdo duvidoso divulgadas nas redes sociais.  ,https://g1.globo.com/fato-ou-fake/noticia/2019/04/30/veja-o-que-e-fato-ou-fake-sobre-o-conflito-na-venezuela.ghtml
